Problem:    Caso1_O1_MinMax
Rows:       2141
Columns:    1945 (1872 integer, 0 binary)
Non-zeros:  10441
Status:     INTEGER NON-OPTIMAL
Objective:  Z = 4 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Z                           4                             
   460 res3[6,6,2]                 0                          -0 
   461 res3[6,6,3]                 0                       10000 
   462 res3[6,6,4]                 0                          -0 
   463 res3[6,6,5]                 0                          -0 
   464 res3[6,6,6]                 0                          -0 
   465 res3[6,6,7]                 0                          -0 
   466 res3[6,6,8]                 0                          -0 
   467 res3[6,6,9]                 0                          -0 
   468 res3[6,7,1]                 0                          -0 
   469 res3[6,7,2]                 0                          -0 
   470 res3[6,7,3]                 0                       10000 
   471 res3[6,7,4]                 0                          -0 
   472 res3[6,7,5]                 0                          -0 
   473 res3[6,7,6]                 0                          -0 
   474 res3[6,7,7]                 0                          -0 
   475 res3[6,7,8]                 0                          -0 
   476 res3[6,7,9]                 0                          -0 
   477 res3[6,8,1]                 0                          -0 
   478 res3[6,8,2]                 0                          -0 
   479 res3[6,8,3]                 0                       10000 
   480 res3[6,8,4]                 0                          -0 
   481 res3[6,8,5]                 0                          -0 
   482 res3[6,8,6]                 0                          -0 
   483 res3[6,8,7]                 0                          -0 
   484 res3[6,8,8]                 0                          -0 
   485 res3[6,8,9]                 0                          -0 
   486 res3[7,1,1]                 0                          -0 
   487 res3[7,1,2]                 0                          -0 
   488 res3[7,1,3]                 1                       10000 
   489 res3[7,1,4]                 0                          -0 
   490 res3[7,1,5]                 0                          -0 
   491 res3[7,1,6]                 0                          -0 
   492 res3[7,1,7]                 0                          -0 
   493 res3[7,1,8]                 0                          -0 
   494 res3[7,1,9]                 0                          -0 
   495 res3[7,2,1]                 0                          -0 
   496 res3[7,2,2]                 0                          -0 
   497 res3[7,2,3]                 2                       10000 
   498 res3[7,2,4]                 0                          -0 
   499 res3[7,2,5]                 0                          -0 
   500 res3[7,2,6]                 0                          -0 
   501 res3[7,2,7]                 0                          -0 
   502 res3[7,2,8]                 0                          -0 
   503 res3[7,2,9]                 0                          -0 
   504 res3[7,3,1]                 0                          -0 
   505 res3[7,3,2]                 0                          -0 
   506 res3[7,3,3]                 0                       10000 
   507 res3[7,3,4]                 0                          -0 
   508 res3[7,3,5]                 0                          -0 
   509 res3[7,3,6]                 0                          -0 
   510 res3[7,3,7]                 0                          -0 
   511 res3[7,3,8]                 0                          -0 
   512 res3[7,3,9]                 0                          -0 
   513 res3[7,4,1]                 0                          -0 
   514 res3[7,4,2]                 0                          -0 
   515 res3[7,4,3]                 3                       10000 
   516 res3[7,4,4]                 0                          -0 
